Totale Semafori Trovati: 92
--------------------------------
ID: cluster_10655240699_10655267109_10655267110_13421870905_#4more | Corsie controllate: 55
ID: cluster_1461595685_258889636_258889637 | Corsie controllate: 49
ID: joinedS_2700665511_cluster_1675048636_5606877329_cluster_1944734873_269027883_3100710435_700999523_#1more | Corsie controllate: 43
ID: cluster_2160382571_276465569_3752747518_3800689701_#2more | Corsie controllate: 41
ID: cluster_11388380239_11435277640_11435277656_3680774442_#4more | Corsie controllate: 40
ID: cluster_10108230545_10108230547_2400614065_5156884050 | Corsie controllate: 38
ID: joinedS_278246118_3044082597_3044082599_3044082601_#1more | Corsie controllate: 32
ID: joinedS_cluster_1955202994_1960219680_1960219681_38037891_#1more_cluster_1960229115_213114083 | Corsie controllate: 32
ID: cluster_3082461950_3082461957_3167876220_3167876221_#3more | Corsie controllate: 30
ID: cluster_10867682701_10867682703_187390194_280716458_#4more | Corsie controllate: 29
ID: cluster_10693806857_1215869804_1947949468_252144944_#2more | Corsie controllate: 26
ID: cluster_256245975_31770756_7221416685_7221416686_#4more | Corsie controllate: 24
ID: cluster_31770755_3444351897_8738479976_8738479977_#4more | Corsie controllate: 24
ID: cluster_11766318399_11766318413_1942839750_1944282075_#2more | Corsie controllate: 23
ID: cluster_2229407945_276467155_3737270570_3737270571_#1more | Corsie controllate: 22
ID: cluster_259968662_259968663_7247829974_7247829975 | Corsie controllate: 21
ID: cluster_1215202423_3044082596_3044082602_3044082603_#1more | Corsie controllate: 20
ID: 213375181 | Corsie controllate: 17
ID: cluster_10958091848_10958091850_2812843796 | Corsie controllate: 15
ID: cluster_12327414083_1684063312_6680226551 | Corsie controllate: 15
ID: cluster_2272149574_38037854_698461154 | Corsie controllate: 13
ID: cluster_33715717_7200514715_7200514716_7200514717 | Corsie controllate: 13
ID: joinedS_292066795_4612210971 | Corsie controllate: 11
ID: cluster_11730570580_258889633_8728358314 | Corsie controllate: 10
ID: cluster_12358102210_12358102217_12358102223_2674835073_#1more | Corsie controllate: 10
ID: 251208763 | Corsie controllate: 9
ID: 259969312 | Corsie controllate: 9
ID: 5253760930 | Corsie controllate: 9
ID: cluster_292067252_610987317 | Corsie controllate: 9
ID: cluster_31770821_3986333448 | Corsie controllate: 9
ID: cluster_4985275657_6292886796_7840112118 | Corsie controllate: 9
ID: joinedS_1386672976_1386672980_31770712_3178033659 | Corsie controllate: 9
ID: cluster_2474030085_2474030088 | Corsie controllate: 8
ID: cluster_8254824560_8443645582_8443645594_8443645595 | Corsie controllate: 8
ID: 245927308 | Corsie controllate: 6
ID: cluster_13402194408_215147951_8404450266_8404450267 | Corsie controllate: 6
ID: cluster_1675060946_1950388268_3639547912 | Corsie controllate: 6
ID: cluster_186897729_31770729 | Corsie controllate: 6
ID: 11753154074 | Corsie controllate: 5
ID: 12964827616 | Corsie controllate: 5
ID: 2717537056 | Corsie controllate: 4
ID: GS_292066799 | Corsie controllate: 4
ID: cluster_12327505561_213420867_6386614415 | Corsie controllate: 4
ID: cluster_1950388264_259969376 | Corsie controllate: 4
ID: cluster_249494302_3999152346_3999152348 | Corsie controllate: 4
ID: cluster_296651252_3642197231 | Corsie controllate: 4
ID: 10108175086 | Corsie controllate: 3
ID: 10719516089 | Corsie controllate: 3
ID: 2260357919 | Corsie controllate: 3
ID: 283697724 | Corsie controllate: 3
ID: 3116443086 | Corsie controllate: 3
ID: 3999197575 | Corsie controllate: 3
ID: 5640129321 | Corsie controllate: 3
ID: 8809172556 | Corsie controllate: 3
ID: 283697722 | Corsie controllate: 2
ID: 283697733 | Corsie controllate: 2
ID: 10885271535 | Corsie controllate: 1
ID: 11214132732 | Corsie controllate: 1
ID: 11777873734 | Corsie controllate: 1
ID: 13409490953 | Corsie controllate: 1
ID: 13409490954 | Corsie controllate: 1
ID: 13409490955 | Corsie controllate: 1
ID: 13409490956 | Corsie controllate: 1
ID: 13409490957 | Corsie controllate: 1
ID: 13409490958 | Corsie controllate: 1
ID: 13409490959 | Corsie controllate: 1
ID: 13409490960 | Corsie controllate: 1
ID: 13409490961 | Corsie controllate: 1
ID: 13409491018 | Corsie controllate: 1
ID: 13409491019 | Corsie controllate: 1
ID: 13409491125 | Corsie controllate: 1
ID: 13409491126 | Corsie controllate: 1
ID: 13409491127 | Corsie controllate: 1
ID: 13409491128 | Corsie controllate: 1
ID: 13409491129 | Corsie controllate: 1
ID: 13409491130 | Corsie controllate: 1
ID: 13409491131 | Corsie controllate: 1
ID: 13409491132 | Corsie controllate: 1
ID: 13409491133 | Corsie controllate: 1
ID: 13409491134 | Corsie controllate: 1
ID: 13409491136 | Corsie controllate: 1
ID: 13409491137 | Corsie controllate: 1
ID: 13409491138 | Corsie controllate: 1
ID: 13409491139 | Corsie controllate: 1
ID: 13409491140 | Corsie controllate: 1
ID: 13409491141 | Corsie controllate: 1
ID: 13409491142 | Corsie controllate: 1
ID: 13409491143 | Corsie controllate: 1
ID: 13409491144 | Corsie controllate: 1
ID: 1839072743 | Corsie controllate: 1
ID: 283697721 | Corsie controllate: 1
ID: 13266936740 | Corsie controllate: 0
